Titre Ebay,Titre Facebook,Prix Ebay,Prix Facebook,similarite_score
nikon d7000,Nikon D7000,"182,00 EUR",270 €,1.0
Canon 6D,Canon 6D,"380,00 EUR",250 €,1.0
Canon 6D Mark II,Canon 6d Mark II,"728,00 EUR",400 €,1.0
Nikon D90,Nikon D90,"150,00 EUR",400 €,1.0
Nikon D7100,Nikon D7100,"259,00 EUR",400 €,1.0
Canon RF-S 18-150mm f3.5-6.3 IS STM,Canon RF-S 18-150mm F3.5-6.3 IS STM.,"390,00 EUR",390 €,1.0
Nikon D90,Nikon d90,"150,00 EUR",200 €,1.0
Nikon D7100,Nikon D7100,"259,00 EUR",500 €,1.0
Appareil Photo Canon EOS 600D,Appareil photo Canon EOS 600D,"290,00 EUR",245 €,1.0
Canon EOS 7D,CANON EOS 7D,"190,00 EUR",300 €,1.0
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 1200D,"175,00 EUR",315 €,1.0
Appareil Photo Canon EOS 600D,Appareil photo Canon EOS 600D,"290,00 EUR",300 €,1.0
Canon EOS R,Canon Eos R,"990,00 EUR",1 000 €,1.0
Nikon D90,Nikon D90,"150,00 EUR",600 €,1.0
CANON EOS 100 D,CANON EOS 100 d,"190,00 EUR",280 €,1.0
Appareil Photo Canon EOS 1200D,Appareil photo canon EOS 1200D,"175,00 EUR",300 €,1.0
Canon EOS 7D,Canon EOS 7D,"190,00 EUR",400 €,1.0
Appareil Photo Canon EOS 600D,Appareil photo CANON EOS 600D,"290,00 EUR",315 €,1.0
nikon d7000,Nikon D7000,"182,00 EUR",230 €,1.0
Canon EOS R,CANON EOS R,"990,00 EUR",800 €,1.0
Nikon D7100,Nikon d7100,"259,00 EUR",300 €,1.0
Nikon D850,Nikon D850 ,"1 590,00 EUR",800 €,1.0
Canon 6D Mark II,Canon 6D Mark II,"728,00 EUR",1 000 €,1.0
Nikon D3400,Nikon D3400,"195,00 EUR",240 €,1.0
Appareil Photo Canon EOS 600D,Appareil photo CANON EOS 600d,"290,00 EUR",300 €,1.0
nikon d3500,Nikon D3500,"295,00 EUR",300 €,1.0
Canon 6D Mark II,Canon 6D Mark II,"728,00 EUR",700 €,1.0
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 100D,"175,00 EUR",180 €,0.9830508474576272
Appareil Photo Canon EOS 1200D,Appareil photo canon EOS 100D,"175,00 EUR",200 €,0.9830508474576272
Appareil Photo Canon EOS 600D,Appareil photo  canon EOS 60D,"290,00 EUR",180 €,0.9824561403508771
appareil photo numérique Panasonic Lumix DC-TZ200,Appareil Photo numérique Panasonic Lumix DMC-TZ20,"500,00 EUR",50 €,0.9791666666666666
Canon EOS 5D Mark II,canon eos 5d mark iii ,"290,00 EUR",800 €,0.975609756097561
lot appareil photo,Lot appareil photos,"210,00 EUR",25 €,0.972972972972973
Canon 5D Mark III,Canon 5d mark ii,"572,00 EUR",300 €,0.9696969696969697
CANON EOS 100 D,Canon eos 1200 d,"190,00 EUR",250 €,0.967741935483871
CANON EOS 100 D,Canon EOS 1300 d,"190,00 EUR",200 €,0.967741935483871
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 2000D,"175,00 EUR",300 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo canon eos 2000d,"175,00 EUR",420 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo canon eos 1000d,"175,00 EUR",250 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 2000D,"175,00 EUR",250 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 1300D,"175,00 EUR",500 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 1100d,"175,00 EUR",190 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil Photo Canon EOS 2000D,"175,00 EUR",420 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 1100D,"175,00 EUR",200 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo canon EOS 2000D,"175,00 EUR",300 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo canon eos 1100d,"175,00 EUR",300 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 1000D,"175,00 EUR",250 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo canon eos 1100d,"175,00 EUR",250 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 2000D,"175,00 EUR",550 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo canon eos 1100d,"175,00 EUR",160 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 1300D,"175,00 EUR",250 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon Eos 2000D,"175,00 EUR",575 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 1100D,"175,00 EUR",160 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 2000d,"175,00 EUR",400 €,0.9666666666666667
Appareil photo Sony Alpha 6000,Appareil Photo Sony Alpha 6100,"334,00 EUR",500 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo canon EOS 1100D,"175,00 EUR",200 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo canon EOS 2000d,"175,00 EUR",440 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo canon EOS 1100D,"175,00 EUR",500 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo Canon EOS 1300D,"175,00 EUR",250 €,0.9666666666666667
Appareil Photo Canon EOS 1200D,Appareil photo canon eos 1100D,"175,00 EUR",300 €,0.9666666666666667
